event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
IRQ63368,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala",Metina,37.1683,43.2709,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out airstrikes and shelling against PKK militants in the Sere Metina area in the Al Amadiya district of Duhok. Casualties unknown.",0,,1753954518,1,1,1,1
IRQ63369,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Markaz Al Amadiya",Mije,37.0478,43.5593,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out shelling against PKK militants in the Mije area of Al Amadiya district, Duhok. Casualties unknown.",0,,1753954518,211,536,541,541
IRQ63370,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala",Shelaza,37.1538,43.3850,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out shelling against PKK militants in the Selaze (Shelaza) area in Al Amadiya district, Duhok. Casualties unknown.",0,,1753954518,30,37,38,38
IRQ63372,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya",Sarsank,Zewke,36.8747,43.7208,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out shelling against PKK militants in the Zevke (Zewke) area in the Al Amadiya district of Duhok. Casualties unknown.",0,,1764045636,27,742,1540,1540
LBN33477,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",Hezbollah,,"Political militia","Political militia-External/Other forces",,422,"Middle East",Lebanon,Bekaa,"West Bekaa",,Zillaya,33.4587,35.6707,2,"Ali Shoeib; AlManar TV; An-Nahar; El Nashra; Lebanon24; Naharnet; Twitter","New media-National","On 17 March 2025, Israeli warplanes carried out raids targeting the Litani River between Qillaya and Zillaya town (West Bekaa, Bekaa). The IDF claimed it had targeted Hezbollah operatives and military infrastructure in the area. Casualties unknown.",0,,1764637279,272,446,663,663
LBN33544,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",Hezbollah,,"Political militia","Political militia-External/Other forces",,422,"Middle East",Lebanon,Bekaa,"West Bekaa",,Libbaya,33.4837,35.7265,1,"Ali Shoeib; AlManar TV; An-Nahar; El Nashra; Lebanon24; Liveuamap; Naharnet; National News Agency Lebanon; Twitter","Local partner-New media","On 17 March 2025, Israeli drones and an F-16 fighter jet carried out a total of five raids targeting the outskirts of Libbaya town (West Bekaa, Bekaa). The IDF claimed it had targeted Hezbollah operatives and military infrastructure in the area. Casualties unknown.",0,,1764637279,2646,3211,4173,4173
PSE70444,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip",Rafah,,"Al Bayuk",31.2747,34.2899,1,Liveuamap,"Local partner-New media","On 17 March 2025, Israeli warplanes struck east of Rafah, coded to Al Bayuk (Rafah, Gaza Strip), resulting in two injuries. This event likely occurred in the buffer zone and after the expiration of the first phase of the ceasefire.",0,,1753956656,6043,15746,15900,15900
PSE70445,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Al Mughraqa",31.4675,34.4097,1,"Palestine News and Information Agency",National,"On 17 March 2025, an Israeli drone struck a group of people in Jisr al Wadi in Al Mughraqa (Gaza City, Gaza Strip), resulting in three killed and others injured. This event occurred following the expiration of the first phase of the ceasefire.",3,,1753956656,5212,9468,9468,9468
PSE70447,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip",Rafah,,"Tal as Sultan",31.3098,34.2414,1,"Quds News Network",National,"On 17 March 2025, an Israeli drone dropped a bomb in Al Saudi 2 neighbourhood in Tal as Sultan (Rafah, Gaza Strip), resulting in one person being injured. This event occurred following the expiration of the first phase of the ceasefire.",0,,1762829569,36225,41863,41971,41971
PSE70532,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Unidentified Armed Group (Palestine)",,"Political militia","Political militia-External/Other forces",,275,"Middle East",Palestine,"Gaza Strip","Deir El Balah",,"Al Burayj",31.4394,34.4031,1,"Israeli Defense Forces; Liveuamap; Palestine News and Information Agency; Quds News Network","Local partner-New media","On 17 March 2025, an Israeli drone struck a group of people [workers collecting wood] inside a sheltering school in eastern Al Burayj (Deir El Balah, Gaza Strip), resulting in five killed and others injured. Also, Israeli tanks opened fire in the same location, casualties unknown. The IDF claimed the group was allegedly involved in suspicious activity, likely attempting to plant a bomb, and posed a threat to its forces. This event likely occurred in the buffer zone and after the expiration of the first phase of the ceasefire.",5,,1753956656,27442,36801,37639,37639
PSE70548,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,"Abasan al Kabirah",31.3191,34.3401,1,"Quds News Network",National,"On 17 March 2025, Israeli tanks opened fire eastern Abasan al Kabirah (Khan Yunis, Gaza Strip), casualties unknown. This event likely occurred in the buffer zone and after the expiration of the first phase of the ceasefire.",0,,1753956656,9297,24803,24803,24803
PSE70549,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip",Rafah,,"Al Mawasi (Rafah)",31.3294,34.2299,1,"Quds News Network",National,"On 17 March 2025, an Israeli drone opened fire in the vicinity of Al Mouawya Mosque in (Al Mawasi (Rafah), Gaza Strip), casualties unknown. This event occurred following the expiration of the first phase of the ceasefire.",0,,1762829569,1853,4578,4578,4578
PSE70551,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,Khuzaa,31.3069,34.3572,1,"Quds News Network",National,"On 17 March 2025, Israeli tanks opened fire in eastern Khuzaa (Khan Yunis, Gaza Strip), casualties unknown. This event likely occurred in the buffer zone and after the expiration of the first phase of the ceasefire.",0,,1753956656,13087,16480,16488,16488
PSE70634,2025-03-17,2025,1,"Political violence","Explosions/Remote violence",Grenade,"Unidentified Armed Group (Palestine)",,"Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"West Bank",Hebron,,"Arrub Camp",31.6230,35.1371,1,"Long War Journal; Quds News Network",National-International,"On 17 March 2025, an unidentified Palestinian group threw pipe bombs at an Israeli military watchtower at the entrance of the Arrub Camp (Hebron, West Bank). There were no casualties.",0,,1753956568,5296,6477,6477,6477
PSE70637,2025-03-17,2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"West Bank",Hebron,,"Bayt Ummar",31.6233,35.1045,1,"PLO Negotiations Affairs Department",Other,"On 17 March 2025, Israeli forces beat up a Palestinian during a raid on Bayt Ummar (Hebron, West Bank), causing him to suffer from bruises. The Palestinian was hospitalized.",0,,1753956568,4800,7274,7638,7274
PSE70652,2025-03-17,2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"West Bank",Jenin,,Jenin,32.4594,35.3009,1,"PLO Negotiations Affairs Department",Other,"On 17 March 2025, Israeli forces fired live and rubber-coated bullets, tear gas canisters, and stun grenades at Palestinias during a raid on Jenin city (Jenin, West Bank). There were no casualties.",0,,1753956568,34875,56392,62076,56392
